# publication|decision|canonical keys|reason. 두 번째 직접 추론 묶음, 외부 LLM API 미사용.
AR-011668-A1|LINK|signal-correlation|IT: 저장된 CDMA 샘플과 기준 수열의 상관으로 획득. 비실시간 클록은 처리와 수신을 분리하는 구성.
AR-011701-A1|DESIGN_ONLY||생분해성 부직포·필름의 적층 및 신장 구성. 분해 경로와 기계적 연화 기구는 부족.
AR-011706-A1|DEFER||흡입 제형과 치료 주장. 항균 분자 표적·임상 검증은 초록에 없다.
AR-011734-A1|LINK|biomolecular-recognition|LH-RH 수용체 친화도는 명시되지만 작용제·길항제의 방향은 생략돼 결합 원리에만 연결.
AR-011856-A1|DESIGN_ONLY||흙·돌을 담는 망 구조의 옹벽. 별도 보강 메커니즘을 단정하지 않는다.
AR-011868-A1|DEFER||칼슘·인산·불소 성분의 치아 재광화 제안. 침전상·핵생성 조건·효능 검증 추가 필요.
AR-011869-A1|LINK|enzyme-inhibition|FKBP 관련 펩티딜프롤릴 이성질화효소 저해를 명시한다.
AR-011925-A1|LINK|negative-feedback,fourier-conduction|압력 막·스프링의 기계적 압력 조절과 냉각수 열 보상. 기체 상태가 없어 줄–톰슨 수치를 추정하지 않는다.
AR-011934-A1|DEFER||반도체 브리지의 기폭 장치. 구체 작동·에너지 전달 기구를 범용 정본에 채택하기에는 부족.
AR-011952-A1|DESIGN_ONLY||종이 상자의 접기·절취·보강 패널 구성.
AR-011956-A1|LINK|adsorption,negative-feedback|압축공기의 흡착 정제와 저장압력 비교 제어. 흡착제 재생이 생략돼 PSA라고 단정하지 않는다.
AR-012016-A1|LINK|enzyme-inhibition|NAALADase 저해의 반복 응용. 별도 신경계 치료 효과로 분할하지 않는다.
AR-012025-A4|DESIGN_ONLY||이중 지지점 지레의 코르크 추출 구성. 지레 힘팔비의 일반 항목은 후속 편집 대상으로 남김.
AR-012041-A1|DESIGN_ONLY||화차와 승강장의 높이를 맞추는 지지·경사 구조.
AR-012061-A1|LINK|solidification|용융 껌 베이스의 냉각·응고. 로봇 이송 구조는 별도 과학효과가 아니다.
AR-012067-A1|DEFER||Bt 독소의 살충 용도만 있고 표적 결합·작용 경로가 없다.
AR-012091-A1|LINK|refraction|유체 압력으로 렌즈 곡률을 바꾸는 가변 초점 굴절. 전기젖음으로 분류하지 않는다.
AR-012110-A4|LINK|mechanical-interlocking|케이블 덕트의 무나사 끼움 체결. 통풍의 지배 기구는 불명확.
AR-012165-A1|DEFER||내마모 화장품의 고분자 배합만 있어 보호 기구가 불명확.
AR-012195-A1|DEFER||서로 다른 점도의 실리콘 배합. 윤활·흡착·피막의 기여를 구분할 자료 부족.
AR-012264-A1|LINK|enzyme-inhibition|금속단백질분해효소 저해를 명시한다.
AR-012296-A1|DEFER||나트륨 채널 차단은 명시. 효소·수용체 조절로 섞지 않고 이온 채널 조절의 후속 원리 후보로 남김.
AR-012307-A1|DEFER||아민염에서 금속염으로 변환. 반응 전구체·평형 경로를 더 확인해야 한다.
AR-012387-A4|DESIGN_ONLY||봉투·갈고리·삽의 결합 구성.
AR-012395-A1|LINK|triboelectric-charging|CO2 눈 입자와 도체의 접촉 대전·유도 부착. 냉각을 액체 증발과 혼동하지 않고 승화는 별도 후속 후보로 남김.
AR-012404-A1|DEFER||항원·백신 용도와 보호 효과 주장. 진단 결합 방식·면역 경로는 불충분.
AR-012431-A1|DEFER||관개 최적화의 목적만 있고 방법이 없다.
AR-012450-A1|DEFER||잘린 화학식 중심 초록. 작용 표적이나 반응 기구를 확정할 수 없다.
AR-012478-A1|LINK|electrodeposition,photovoltaic-conversion|CIGS 공증착과 광전변환 응용. 물리 증착은 방식 불명으로 스퍼터에 연결하지 않는다.
AR-012498-A1|DESIGN_ONLY||신장·기계적 안정화·롤 지연의 부직포 가공 구성. 음의 푸아송비라고 단정하지 않는다.
AR-012535-A4|DESIGN_ONLY||분해·회전·접이식 건조대의 기구 구성.
AR-012580-A1|LINK|sol-gel|졸–겔 연결망으로 다공성 광학막 형성. 반사 저감의 광학 경로는 막 두께·지수 확인 전 보류.
AR-012587-A1|LINK|polymerization|그래프트 고분자와 폴리올레핀 적층. 표면 고정 브러시와 구별한다.
AR-012588-A1|DEFER||제목은 세린 프로테아제 저해이지만 초록은 구조·투과도 중심. 표적 근거를 원문에서 확인한다.
AR-012643-A1|DESIGN_ONLY||담배 포장의 힌지·접근 패널 구성.
AR-012680-A1|LINK|feedforward|IT: 광변조기 비선형성의 사전 왜곡 보상. 기존 피드포워드의 모델 기반 선제 보상에 통합.
AR-012693-A1|LINK|forced-convection|보조 압축기로 터빈 냉각 공기를 공급한다.
AR-012698-A1|DEFER||장용 코팅·분리층 제형. 지배적인 용해·확산 경로는 더 확인한다.
AR-012727-A1|LINK|fourier-conduction|튜브·핀 접촉의 열교환기 응용. 고정 형상 자체는 신규 원리가 아니다.
AR-012760-A1|DESIGN_ONLY||벨트 요철로 종이에 밀도 패턴을 부여. 감광 재료의 실제 공정은 부족.
