# 사람이 원리·입출력·조건을 비교해 편집하는 정본. 자동 추출 결과를 여기에 자동 병합하지 않는다.
# 그룹: @번호|요구 기능|기본 분야. 항목: 고정 키|타이틀|작동 원리|필요 조건|추가 참고자료 키
@1|물체를 지지·고정하거나 이동시킨다|PHYSICAL
electromagnetic-suspension|전자석 흡인형 자기부상|전자석의 인력으로 하중을 지지하고 피드백으로 공극을 유지한다.|자성 경로, 간극 센서, 제어 전원 필요. 전원 상실 시 지지 대책 필요.|
hydrostatic-gas-bearing|공기 정압 베어링|외부에서 공급한 가압 기체막으로 하중을 비접촉 지지한다.|청정 가압원과 정밀 공극 필요. 누설 유량과 진공 환경의 영향을 고려.|
acoustic-levitation|음향 부상|음장 속 물체에 작용하는 음향 방사력으로 중력 등을 상쇄한다.|대상의 크기·밀도·압축률에 맞는 음장 필요. 안정 위치는 음향 대비에 따라 달라짐.|
electrostatic-chuck|정전기척(ESC)|전극과 대상 사이의 정전기력으로 대상을 척 표면에 밀착·고정한다.|적합한 전극·유전체 구조와 전압 필요. 절연 파괴·잔류 전하·탈착 관리 필요.|
optical-tweezers|광학 집게|집속 광장의 구배력이 미세 입자를 포획한다.|적합한 굴절률 대비와 집속 광학계 필요. 산란력·광가열·대상 손상을 고려.|
electrodynamic-suspension|유도 반발형 자기부상|변화하는 자속이 도체에 전류를 유도하고 반작용 자기력으로 부상시킨다.|상대 운동 또는 교류 자계 필요. 저속 부상력 부족과 유도 발열을 고려.|
electrostatic-mems-actuation|정전 구동|전극 사이 정전기 인력으로 가동 구조를 변위시킨다.|절연과 가동 공극 필요. 풀인 불안정성과 부착을 피할 전압·강성 설계 필요.|
vacuum-gripping|진공 흡착|대기와 흡착면 사이 압력차로 물체를 붙잡는다.|밀폐 가능한 접촉면과 압력차 필요. 다공성·거친 표면의 누설 및 진공 환경에 제약.|vacuum-grip
lorentz-actuation|로런츠 힘 구동|자기장 속 전류에 작용하는 힘으로 직선·회전 운동을 만든다.|전류 방향과 자계의 배치, 전원·방열 필요. 모터·보이스코일 등에 적용.|lorentz
@2|진동을 억제하거나 격리한다|PHYSICAL
resonant-absorber|동조질량감쇠기(TMD)|보조 질량·스프링의 공진을 맞춰 목표 진동 모드의 응답을 줄인다.|대상 고유진동수에 맞춘 동조와 적절한 감쇠 필요. 주파수 변화에 민감.|
viscous-damping|점성 감쇠|점성 유체의 전단·유동 저항으로 운동 에너지를 열로 소산한다.|유체 점도, 유로와 방열 설계 필요. 온도 변화·누설·캐비테이션을 고려.|
viscoelastic-response|점탄성 감쇠|재료의 지연된 변형·회복 과정에서 진동 에너지를 소산한다.|사용 온도·주파수에서 손실 특성이 맞는 재료 필요. 크리프와 노화를 고려.|
vibration-isolation|탄성 진동 절연|탄성 지지부로 가진원과 대상의 동적 결합을 낮춘다.|가진 주파수와 지지계 고유진동수의 관계 확인 필요. 공진 부근에서는 증폭 가능.|
active-vibration-control|능동 진동 제어|센서로 진동을 측정하고 액추에이터로 보상력을 가한다.|제어 안정성, 지연, 센서 잡음과 액추에이터 대역폭·행정 확인 필요.|active-vibration
eddy-current-damping|와전류 제동·감쇠|자석과 도체의 상대 운동이 만든 유도 전류가 운동을 방해하고 열로 소산한다.|전도체와 변화하는 자속 필요. 정지 상태의 지속 제동력과 발열에 한계.|eddy
friction-damping|마찰 감쇠|접촉면의 미끄럼 마찰로 진동 에너지를 소산한다.|접촉 압력과 마찰면 관리 필요. 스틱슬립·마모·감쇠력 변동을 고려.|friction
@3|점도·강성을 제어한다|PHYSICAL
electrorheological-fluid|전기유변 효과(ER)|전기장이 입자 사슬을 형성해 유체의 항복응력을 바꾼다.|분극 가능한 분산 입자와 전극 필요. 절연 파괴·침전·수분 영향을 고려.|
magnetorheological-fluid|자기유변 효과(MR)|자기장이 자성 입자를 사슬로 정렬해 유체의 항복응력을 바꾼다.|자성 입자 분산액과 자계 필요. 침전·마모·자기 포화와 발열을 고려.|
shear-thinning|전단박화|전단률이 증가하면 미세구조의 정렬·붕괴로 겉보기 점도가 낮아진다.|해당 전단률·온도 범위에서 박화하는 유체 필요. 시간 의존성은 별도 확인.|
shear-thickening|전단농화|전단이 강해지면 입자 간 구속·접촉이 증가해 겉보기 점도가 높아진다.|적합한 고농도 분산계와 전단 조건 필요. 침전·응집·비가역 막힘을 고려.|
granular-jamming|입자 재밍|입자층을 압착해 입자 간 마찰·접촉망을 늘리고 구조를 단단하게 만든다.|입자와 유연한 외피, 압력차 또는 구속력 필요. 누설·입자 이동을 고려.|
thixotropy|틱소트로피|전단이 지속되면 내부 구조가 붕괴해 점도가 낮아지고 휴지하면 회복된다.|구조의 붕괴·회복 시간이 공정에 맞는 유체 필요. 단순 전단박화와 구분.|thixotropy
gelation|겔화|분자·입자 사이에 연결망이 형성되어 유체의 흐름을 억제한다.|가교·온도·pH·농도 등 해당 겔화 조건 필요. 가역성은 재료별 확인.|gelation
@4|미세 입자를 포집·제거한다|PHYSICAL
electrostatic-precipitation|정전 집진|대전된 입자를 전기장으로 집진면에 이동시킨다.|대전부·집진 전극과 청소 장치 필요. 입자 전기저항·방전·재비산을 고려.|
thermophoresis|열영동|온도 구배가 입자 주위의 운동량 전달을 비대칭으로 만들어 입자를 이동시킨다.|온도 구배와 적합한 매질 필요. 기체에서는 흔히 저온 쪽으로 이동하나 조건별 확인.|thermophoresis
acoustophoresis|음향영동|입자의 음향 대비에 따른 방사력 차이로 음장 안에서 입자를 집속·분리한다.|주파수·입경·밀도·압축률 대비를 맞춘 음장 필요. 유동과 음향 스트리밍을 고려.|acoustophoresis
