# publication|decision|canonical keys|reason. 대화 내 직접 추론으로 작성. 자동 추론 API 미사용.
AP-1002-A|LINK|enzyme-inhibition|PDE5 저해 표적 명시. 화합물별 중복 효과를 만들지 않으며 임상효능으로 일반화하지 않는다.
AP-1020-A|LINK|vacuum-gripping,plastic-forming,thermal-expansion-actuation|가열 필름·진공 밀착·냉각 수축의 조합. 별도 캔 포장 효과를 만들지 않는다.
AP-1041-A|LINK|receptor-ligand-modulation|작용제라는 분자 기능만 범용 수용체 조절에 연결. 골량 회복의 임상 검증은 주장하지 않는다.
AP-1060-A|DEFER||구조·용도는 있지만 항균·항원충 작용 표적이나 반응 기구가 초록에 없다.
AP-1061-A|LINK|enzyme-inhibition|Factor Xa 저해를 명시한다. 저해제별 효과 분할 없이 효소 저해에 연결.
AP-1077-A|LINK|enzyme-catalysis,surfactant-action|미세유화액과 단백질분해 효소 조합. 영구 제모·모든 피부 적합성은 검증되지 않은 특허 주장.
AP-1102-A|LINK|microbial-sulfate-reduction|기존 18.9와 동일한 황산염 환원·황화물 침전 기구.
AP-1110-A|LINK|receptor-ligand-modulation|NK1·NK2·NK3 수용체 억제. 아형별 중복 항목을 만들지 않는다.
AP-1146-A|LINK|enzyme-inhibition|PDE4 저해 표적은 명시. TNF 생성의 모든 조절 경로를 이 초록에서 추론하지 않는다.
AP-1231-A|DEFER||항균·항원충 용도만 명시하며 표적 기구가 없다.
AP-1242-A|LINK|mechanical-interlocking|돌기·홈과 경사면에 의한 구속·분리. 일회용 주사기라는 별도 효과를 만들지 않는다.
AP-1257-A|DESIGN_ONLY||포개기·턱·접이식 관의 구체 형상 설계. 별도 과학효과로 분할하지 않는다.
AP-1299-A|DEFER||축합을 명시하나 도식 B·C의 실체가 초록에 없어 구체 반응형을 확정하지 않는다.
AP-1303-A|DEFER||섬유 배합비와 조성만 있으며 생리·물성 작용 기구가 없다.
AP-1309-A|DEFER||화학식 변수와 항증식 용도만 있으며 작용 표적이 없다.
AP-1315-A|LINK|receptor-ligand-modulation|곤충 니코틴성 아세틸콜린 수용체 작용제·길항제. 산업과 생물종이 달라도 같은 원리로 묶는다.
AP-1348-A|DEFER||배합 및 배출 저감 주장에 비해 연소·계면 작용 기구와 검증 자료가 부족하다.
AP-1372-A|LINK|receptor-ligand-modulation|아데노신 A2A 수용체 작용제로만 연결한다.
AP-1390-A|LINK|enzyme-inhibition|Xa 저해는 연결 가능. 두 성분의 임상적 상승효과는 초록으로 확정할 수 없다.
AP-1432-A|DEFER||일수화물 제조라고만 되어 있어 결정화 기구·다형·조건을 확정하지 않는다.
AP-1465-A|DEFER||칼륨 유출 억제는 명시하나 채널 조절 방식·정량 조건은 추가 원문 확인 필요.
AP-1490-A|LINK|microbial-sulfide-bioleaching|황화광 생물산화·구리 용해가 명시됨. 온도·함량 수치는 이 특허 조건이며 범용 필요조건에 복사하지 않는다.
AP-1504-A|LINK|enzyme-inhibition|HIV 프로테아제 저해로 연결. 치환기마다 개별 과학효과를 만들지 않는다.
AP-1509-A|LINK|microbial-sulfide-bioleaching|황화광 슬러리의 미생물 산화와 산소 공급. 생물 생성물 회수의 범용 수율은 제시하지 않는다.
AP-1532-A|LINK|distillation,evaporative-cooling,condensation-recovery|태양 가열·증발·응축의 조합. 태양 증류 제품을 별도 효과로 추가하지 않는다.
AP-1551-A|LINK|microbial-sulfide-bioleaching|산소 부화 슬러리 생물 침출. AP-1490-A와 다른 공정 조건은 동일 원리의 응용으로 취급.
AP-1558-A|LINK|polymerization|목재 내 단량체 함침·중합. 함침 균일성이나 강화 수치를 새로 추정하지 않는다.
AP-1622-A|DEFER||항바이러스 활성이라는 용도 외 작용 표적이 없다.
AP-1630-A|LINK|wedge-mechanism|유압으로 움직이는 경사 잠금 링이 축방향 변위를 방사상 파지로 바꾼다.
AP-1647-A|DEFER||저삼투압 목표와 지방 코팅 조성은 기재하나 코팅의 인과·측정 조건이 부족하다.
AP-1656-A|DEFER||제안된 암석 파쇄 장치. 압력·파괴 거동을 일반화할 자료가 부족해 신규 원리 채택을 보류한다.
AP-1692-A|DEFER||변형 방출이라는 결과만 있으며 확산·용해·침식 중 지배 기구가 불명확하다.
AP-1794-A|LINK|coordination-complexation|리간드와 용해 금속의 착물 형성 원리에 연결. 청화물 특정 공정·조건을 일반화하지 않는다.
AP-1819-A|LINK|catalysis,fourier-conduction,forced-convection|고정 촉매와 벽을 통한 열교환의 조합. 반응기마다 별도 효과를 만들지 않는다.
AP-1898-A|DEFER||토양 처리 조성과 용도만 있으며 생물 작용 표적·안전성 근거가 부족하다.
